Organisation Code,Organisation Name,All Procedures - Total HES Procedures,All Procedures - Total Pre-Op Qs,All Procedures - Participation Rate,All Procedures - Total Linked,All Procedures - Linkage rate,All Procedures - Total Q2s sent to date,All Procedures - Issue rate,All Procedures - Total Q2s returned to date,All Procedures - Response rate,Hip Replacement - Total HES Procedures,Hip Replacement - Total Pre-Op Qs,Hip Replacement - Participation Rate,Hip Replacement - Total Linked,Hip Replacement - Linkage rate,Hip Replacement - Total Q2s sent to date,Hip Replacement - Issue rate,Hip Replacement - Total Q2s returned to date,Hip Replacement - Response rate,Primary Hip Replacement - Total HES Procedures,Primary Hip Replacement - Total Pre-Op Qs,Primary Hip Replacement - Participation Rate,Primary Hip Replacement - Total Linked,Primary Hip Replacement - Linkage rate,Primary Hip Replacement - Total Q2s sent to date,Primary Hip Replacement - Issue rate,Primary Hip Replacement - Total Q2s returned to date,Primary Hip Replacement - Response rate,Revision Hip Replacement - Total HES Procedures,Revision Hip Replacement - Total Pre-Op Qs,Revision Hip Replacement - Participation Rate,Revision Hip Replacement - Total Linked,Revision Hip Replacement - Linkage rate,Revision Hip Replacement - Total Q2s sent to date,Revision Hip Replacement - Issue rate,Revision Hip Replacement - Total Q2s returned to date,Revision Hip Replacement - Response rate,Knee Replacement - Total HES Procedures,Knee Replacement - Total Pre-Op Qs,Knee Replacement - Participation Rate,Knee Replacement - Total Linked,Knee Replacement - Linkage rate,Knee Replacement - Total Q2s sent to date,Knee Replacement - Issue rate,Knee Replacement - Total Q2s returned to date,Knee Replacement - Response rate,Primary Knee Replacement - Total HES Procedures,Primary Knee Replacement - Total Pre-Op Qs,Primary Knee Replacement - Participation Rate,Primary Knee Replacement - Total Linked,Primary Knee Replacement - Linkage rate,Primary Knee Replacement - Total Q2s sent to date,Primary Knee Replacement - Issue rate,Primary Knee Replacement - Total Q2s returned to date,Primary Knee Replacement - Response rate,Revision Knee Replacement - Total HES Procedures,Revision Knee Replacement - Total Pre-Op Qs,Revision Knee Replacement - Participation Rate,Revision Knee Replacement - Total Linked,Revision Knee Replacement - Linkage rate,Revision Knee Replacement - Total Q2s sent to date,Revision Knee Replacement - Issue rate,Revision Knee Replacement - Total Q2s returned to date,Revision Knee Replacement - Response rate
NT451,BMI THE CAVELL HOSPITAL,281,216,0.7686833,189,0.875,138,0.6388889,71,0.5144928,111,89,0.8018018,78,0.8764045,60,0.6741573,28,0.4666667,*,*,*,*,*,54,*,26,*,*,*,*,*,*,0,*,0,*,170,127,0.7470588,111,0.8740157,78,0.6141732,43,0.5512821,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT447,BMI THE DUCHY HOSPITAL,123,71,0.5772358,65,0.915493,39,0.5492958,31,0.7948718,48,29,0.6041667,28,0.9655172,17,0.5862069,13,0.7647059,48,28,0.5833333,28,1,16,0.5714286,12,0.75,0,0,0,0,0,0,0,0,0,75,42,0.56,37,0.8809524,22,0.5238095,18,0.8181818,*,37,0.5,*,1,20,0.5405405,17,0.85,*,0,*,0,0,0,0,0,0
NT445,BMI THE EDGBASTON HOSPITAL,135,114,0.8444444,70,0.6140351,68,0.5964912,41,0.6029412,49,42,0.8571429,28,0.6666667,30,0.7142857,21,0.7,49,28,0.5714286,28,1,21,0.75,16,0.7619048,0,0,0,0,0,0,0,0,0,86,72,0.8372093,42,0.5833333,38,0.5277778,20,0.5263158,*,*,*,*,*,*,0.6829268,*,0.6071429,*,*,*,*,*,0,*,0,*
NT448,BMI THE HUDDERSFIELD HOSPITAL,391,50,0.1278772,45,0.9,43,0.86,33,0.7674419,122,23,0.1885246,20,0.8695652,18,0.7826087,13,0.7222222,122,20,0.1639344,20,1,15,0.75,12,0.8,0,0,0,0,0,0,0,0,0,269,27,0.1003717,25,0.9259259,25,0.9259259,20,0.8,259,25,0.0965251,25,1,24,0.96,20,0.8333333,10,0,0,0,0,0,0,0,0
NT449,BMI THE LANCASTER HOSPITAL,179,183,1.0223464,124,0.6775956,95,0.5191257,66,0.6947368,74,75,1.0135135,52,0.6933333,43,0.5733333,25,0.5813953,*,*,*,*,*,*,*,23,*,*,*,*,*,*,*,*,0,*,105,108,1.0285714,72,0.6666667,52,0.4814815,41,0.7884615,105,72,0.6857143,72,1,42,0.5833333,34,0.8095238,0,0,0,0,0,0,0,0,0
NT450,BMI THE LINCOLN HOSPITAL,367,105,0.2861035,94,0.8952381,66,0.6285714,40,0.6060606,162,43,0.2654321,37,0.8604651,27,0.627907,15,0.5555556,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,205,62,0.302439,57,0.9193548,39,0.6290323,25,0.6410256,*,*,*,*,*,*,0.6607143,*,0.6756757,*,*,*,*,*,0,*,0,*
NT457,BMI WOODLANDS HOSPITAL,641,455,0.7098284,391,0.8593407,256,0.5626374,180,0.703125,295,225,0.7627119,196,0.8711111,129,0.5733333,88,0.6821705,289,*,*,*,*,*,*,85,*,6,*,*,*,*,*,*,0,*,346,230,0.6647399,195,0.8478261,127,0.5521739,92,0.7244094,335,189,0.5641791,189,1,117,0.6190476,87,0.7435897,11,6,0.5454545,6,1,3,0.5,2,0.6666667
RMC,BOLTON NHS FOUNDATION TRUST,401,293,0.7306733,207,0.7064846,187,0.6382253,86,0.459893,185,122,0.6594595,91,0.7459016,76,0.6229508,33,0.4342105,*,*,*,*,*,59,*,32,*,*,*,*,*,*,0,*,0,*,216,171,0.7916667,116,0.6783626,111,0.6491228,53,0.4774775,205,109,0.5317073,109,1,81,0.7431193,48,0.5925926,11,7,0.6363636,7,1,4,0.5714286,2,0.5
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,420,363,0.8642857,239,0.6584022,189,0.5206612,75,0.3968254,162,134,0.8271605,94,0.7014925,74,0.5522388,33,0.4459459,141,*,*,*,*,*,*,27,*,21,*,*,*,*,*,*,0,*,258,229,0.8875969,145,0.6331878,115,0.5021834,42,0.3652174,242,137,0.5661157,137,1,73,0.5328467,34,0.4657534,16,8,0.5,8,1,5,0.625,2,0.4
RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,687,635,0.9243086,439,0.6913386,312,0.4913386,164,0.525641,349,333,0.9541547,230,0.6906907,166,0.4984985,87,0.5240964,303,204,0.6732673,204,1,118,0.5784314,66,0.559322,46,26,0.5652174,26,1,15,0.5769231,9,0.6,338,302,0.8934911,209,0.692053,146,0.4834437,77,0.5273973,307,191,0.6221498,191,1,97,0.5078534,56,0.5773196,31,18,0.5806452,18,1,12,0.6666667,10,0.8333333
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,662,556,0.8398792,176,0.3165468,263,0.4730216,126,0.4790875,304,253,0.8322368,86,0.3399209,118,0.4664032,57,0.4830508,283,*,*,*,*,51,*,32,*,21,*,*,*,*,0,*,0,*,358,303,0.8463687,90,0.2970297,145,0.4785479,69,0.4758621,335,*,*,*,*,*,*,*,*,23,*,*,*,*,*,*,*,*
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,861,746,0.8664344,719,0.963807,339,0.4544236,260,0.7669617,432,369,0.8541667,360,0.9756098,171,0.4634146,135,0.7894737,403,338,0.8387097,338,1,155,0.4585799,124,0.8,29,22,0.7586207,22,1,11,0.5,6,0.5454545,429,377,0.8787879,359,0.9522546,168,0.4456233,125,0.7440476,404,338,0.8366337,338,1,149,0.4408284,111,0.7449664,25,21,0.84,21,1,12,0.5714286,8,0.6666667
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,802,469,0.584788,304,0.6481876,302,0.6439232,143,0.4735099,424,247,0.5825472,155,0.6275304,154,0.6234818,78,0.5064935,382,142,0.3717277,142,1,109,0.7676056,64,0.587156,42,13,0.3095238,13,1,10,0.7692308,5,0.5,378,222,0.5873016,149,0.6711712,148,0.6666667,65,0.4391892,359,*,*,*,*,*,*,*,*,19,*,*,*,*,*,*,*,*
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,704,527,0.7485795,252,0.4781784,324,0.6148008,143,0.441358,286,233,0.8146853,122,0.5236052,141,0.6051502,68,0.4822695,270,*,*,*,*,*,*,*,*,16,*,*,*,*,*,*,*,*,418,294,0.7033493,130,0.4421769,183,0.622449,75,0.4098361,395,*,*,*,*,*,*,*,*,23,*,*,*,*,*,*,*,*
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,546,520,0.952381,418,0.8038462,282,0.5423077,163,0.5780142,258,247,0.9573643,194,0.7854251,136,0.5506073,83,0.6102941,237,186,0.7848101,186,1,116,0.6236559,74,0.637931,21,8,0.3809524,8,1,4,0.5,2,0.5,288,273,0.9479167,224,0.8205128,146,0.5347985,80,0.5479452,271,*,*,*,*,*,*,*,0.5846154,17,*,*,*,*,*,*,0,*
NV313,CIRCLE - NOTTINGHAM NHS TREATMENT CENTRE,198,212,1.0707071,102,0.4811321,212,1,145,0.6839623,62,79,1.2741935,31,0.3924051,79,1,55,0.6962025,*,31,*,31,1,31,1,27,0.8709677,*,0,*,0,0,0,0,0,0,136,133,0.9779412,71,0.5338346,133,1,90,0.6766917,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NV302,CIRCLE BATH HOSPITAL,677,643,0.9497784,539,0.8382582,392,0.6096423,231,0.5892857,356,335,0.9410112,286,0.8537313,192,0.5731343,111,0.578125,*,286,*,286,1,172,0.6013986,103,0.5988372,*,0,*,0,0,0,0,0,0,321,308,0.9595016,253,0.8214286,200,0.6493506,120,0.6,313,*,*,*,*,*,*,*,*,8,*,*,*,*,*,*,*,*
NV323,CIRCLE READING HOSPITAL,356,233,0.6544944,200,0.8583691,167,0.7167382,102,0.6107784,192,132,0.6875,116,0.8787879,91,0.6893939,50,0.5494505,192,116,0.6041667,116,1,78,0.6724138,44,0.5641026,0,0,0,0,0,0,0,0,0,164,101,0.6158537,84,0.8316832,76,0.7524752,52,0.6842105,*,84,0.5153374,*,1,64,0.7619048,44,0.6875,*,0,*,0,0,0,0,0,0
NVC28,CLIFTON PARK HOSPITAL,592,558,0.9425676,529,0.9480287,255,0.4569892,200,0.7843137,274,258,0.9416058,243,0.9418605,115,0.4457364,89,0.773913,257,229,0.8910506,229,1,106,0.4628821,85,0.8018868,17,14,0.8235294,14,1,8,0.5714286,4,0.5,318,300,0.9433962,286,0.9533333,140,0.4666667,111,0.7928571,300,271,0.9033333,271,1,130,0.4797048,108,0.8307692,18,15,0.8333333,15,1,4,0.2666667,3,0.75
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,379,346,0.9129288,255,0.7369942,137,0.3959538,86,0.6277372,201,172,0.8557214,127,0.7383721,65,0.377907,46,0.7076923,195,*,*,*,*,*,*,*,*,6,*,*,*,*,*,*,*,*,178,174,0.9775281,128,0.7356322,72,0.4137931,40,0.5555556,*,128,0.7231638,*,1,61,0.4765625,38,0.6229508,*,0,*,0,0,0,0,0,0
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,863,920,1.0660487,735,0.798913,667,0.725,363,0.5442279,429,448,1.044289,368,0.8214286,324,0.7232143,174,0.537037,393,347,0.8829517,347,1,238,0.685879,147,0.6176471,36,21,0.5833333,21,1,19,0.9047619,9,0.4736842,434,472,1.0875576,367,0.7775424,343,0.7266949,189,0.5510204,411,352,0.8564477,352,1,239,0.6789773,167,0.6987448,23,15,0.6521739,15,1,11,0.7333333,5,0.4545455
RN7,DARTFORD AND GRAVESHAM NHS TRUST,952,102,0.1071429,68,0.6666667,45,0.4411765,28,0.6222222,430,32,0.0744186,21,0.65625,12,0.375,6,0.5,406,*,*,*,*,11,*,6,*,24,*,*,*,*,0,*,0,*,522,70,0.1340996,47,0.6714286,33,0.4714286,22,0.6666667,502,47,0.0936255,47,1,32,0.6808511,21,0.65625,20,0,0,0,0,0,0,0,0
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,1167,529,0.4532991,447,0.8449905,413,0.7807183,221,0.535109,526,245,0.4657795,216,0.8816327,191,0.7795918,101,0.5287958,485,202,0.4164948,202,1,164,0.8118812,90,0.5487805,41,14,0.3414634,14,1,11,0.7857143,6,0.5454545,641,284,0.4430577,231,0.8133803,222,0.7816901,120,0.5405405,607,219,0.3607908,219,1,180,0.8219178,111,0.6166667,34,12,0.3529412,12,1,9,0.75,2,0.2222222
NNE02,DORKING GENERAL HOSPITAL,76,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,*,0,0,*,0,0,0,0,0,*,0,*,0,0,0,0,0,0
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,487,257,0.5277207,166,0.6459144,168,0.6536965,111,0.6607143,214,110,0.5140187,62,0.5636364,60,0.5454545,40,0.6666667,204,*,*,*,*,*,*,*,*,10,*,*,*,*,*,*,*,*,273,147,0.5384615,104,0.707483,108,0.7346939,71,0.6574074,249,97,0.3895582,97,1,74,0.7628866,57,0.7702703,24,7,0.2916667,7,1,5,0.7142857,4,0.8
NVC04,DUCHY HOSPITAL,1194,1096,0.9179229,966,0.8813869,520,0.4744526,412,0.7923077,557,520,0.9335727,458,0.8807692,258,0.4961538,202,0.7829457,543,450,0.8287293,450,1,234,0.52,193,0.8247863,14,8,0.5714286,8,1,5,0.625,4,0.8,637,576,0.9042386,508,0.8819444,262,0.4548611,210,0.8015267,621,497,0.8003221,497,1,241,0.4849095,201,0.8340249,16,11,0.6875,11,1,4,0.3636364,3,0.75
RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,548,551,1.0054745,429,0.7785844,355,0.6442831,207,0.5830986,299,295,0.9866221,233,0.7898305,185,0.6271186,108,0.5837838,253,200,0.7905138,200,1,145,0.725,90,0.6206897,46,33,0.7173913,33,1,21,0.6363636,15,0.7142857,249,256,1.0281124,196,0.765625,170,0.6640625,99,0.5823529,235,186,0.7914894,186,1,133,0.7150538,81,0.6090226,14,10,0.7142857,10,1,7,0.7,6,0.8571429
RJN,EAST CHESHIRE NHS TRUST,355,299,0.8422535,257,0.8595318,205,0.6856187,117,0.5707317,167,139,0.8323353,121,0.8705036,93,0.6690647,60,0.6451613,*,121,*,121,1,90,0.7438017,59,0.6555556,*,0,*,0,0,0,0,0,0,188,160,0.8510638,136,0.85,112,0.7,57,0.5089286,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,1336,1216,0.9101796,783,0.6439145,710,0.5838816,424,0.5971831,601,542,0.9018303,356,0.6568266,326,0.601476,204,0.6257669,520,311,0.5980769,311,1,217,0.6977492,152,0.7004608,81,45,0.5555556,45,1,29,0.6444444,17,0.5862069,735,674,0.9170068,427,0.6335312,384,0.5697329,220,0.5729167,663,387,0.5837104,387,1,246,0.6356589,160,0.6504065,72,40,0.5555556,40,1,28,0.7,18,0.6428571
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,830,736,0.886747,280,0.3804348,435,0.5910326,208,0.4781609,338,302,0.8934911,105,0.3476821,185,0.6125828,92,0.4972973,330,*,*,*,*,*,*,*,*,8,*,*,*,*,*,*,*,*,492,434,0.8821138,175,0.4032258,250,0.5760369,116,0.464,483,*,*,*,*,*,*,*,*,9,*,*,*,*,*,*,*,*
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,1704,1061,0.6226526,783,0.737983,680,0.6409048,342,0.5029412,822,513,0.6240876,388,0.7563353,335,0.6530214,176,0.5253731,782,377,0.4820972,377,1,265,0.7029178,154,0.5811321,40,11,0.275,11,1,8,0.7272727,6,0.75,882,548,0.6213152,395,0.7208029,345,0.629562,166,0.4811594,855,386,0.451462,386,1,257,0.6658031,141,0.5486381,27,9,0.3333333,9,1,3,0.3333333,3,1
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,510,674,1.3215686,224,0.3323442,345,0.5118694,195,0.5652174,220,316,1.4363636,102,0.3227848,156,0.4936709,93,0.5961538,205,95,0.4634146,95,1,60,0.6315789,41,0.6833333,15,7,0.4666667,7,1,5,0.7142857,2,0.4,290,358,1.2344828,122,0.3407821,189,0.527933,102,0.5396825,267,114,0.4269663,114,1,67,0.5877193,41,0.6119403,23,8,0.3478261,8,1,4,0.5,4,1
NTPH2,EMERSONS GREEN NHS TREATMENT CENTRE,815,864,1.0601227,742,0.8587963,545,0.630787,369,0.6770642,353,384,1.0878187,330,0.859375,247,0.6432292,172,0.6963563,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,462,480,1.038961,412,0.8583333,298,0.6208333,197,0.6610738,462,412,0.8917749,412,1,264,0.6407767,179,0.6780303,0,0,0,0,0,0,0,0,0
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,2983,4146,1.389876,3625,0.8743367,1497,0.3610709,485,0.3239813,1389,1921,1.3830094,1693,0.8813118,705,0.3669964,234,0.3319149,1303,1592,1.2217959,1592,1,609,0.3825377,209,0.3431856,86,101,1.1744186,101,1,47,0.4653465,24,0.5106383,1594,2225,1.3958595,1932,0.8683146,792,0.3559551,251,0.3169192,1535,1866,1.2156352,1866,1,709,0.3799571,240,0.3385049,59,66,1.1186441,66,1,31,0.469697,6,0.1935484
NVC05,EUXTON HALL HOSPITAL,380,265,0.6973684,245,0.9245283,147,0.554717,98,0.6666667,150,114,0.76,103,0.9035088,70,0.6140351,52,0.7428571,*,*,*,*,*,*,*,49,*,*,*,*,*,*,*,*,0,*,230,151,0.6565217,142,0.9403974,77,0.5099338,46,0.5974026,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NVG01,FAIRFIELD HOSPITAL,328,241,0.7347561,234,0.9709544,136,0.5643154,84,0.6176471,137,103,0.7518248,102,0.9902913,54,0.5242718,33,0.6111111,137,102,0.7445255,102,1,54,0.5294118,33,0.6111111,0,0,0,0,0,0,0,0,0,191,138,0.7225131,132,0.9565217,82,0.5942029,51,0.6219512,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NVC06,FITZWILLIAM HOSPITAL,689,603,0.8751814,524,0.8689884,295,0.4892206,200,0.6779661,292,274,0.9383562,243,0.8868613,147,0.5364964,104,0.707483,*,243,*,243,1,133,0.5473251,97,0.7293233,*,0,*,0,0,0,0,0,0,397,329,0.8287154,281,0.8541033,148,0.449848,96,0.6486486,389,275,0.7069409,275,1,124,0.4509091,84,0.6774194,8,6,0.75,6,1,3,0.5,1,0.3333333
AHH,FOSCOTE COURT (BANBURY) TRUST LTD,0,0,0,0,0,0,0,0,0,0,*,*,0,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,1786,1564,0.8756999,1248,0.797954,837,0.5351662,473,0.5651135,799,659,0.824781,550,0.8345979,351,0.5326252,214,0.6096866,731,509,0.6963064,509,1,291,0.5717092,187,0.6426117,68,41,0.6029412,41,1,23,0.5609756,13,0.5652174,987,905,0.91692,698,0.7712707,486,0.5370166,259,0.5329218,928,665,0.7165948,665,1,377,0.5669173,219,0.5809019,59,33,0.559322,33,1,19,0.5757576,9,0.4736842
NVC07,FULWOOD HALL HOSPITAL,584,534,0.9143836,460,0.8614232,299,0.5599251,197,0.6588629,244,224,0.9180328,189,0.84375,118,0.5267857,80,0.6779661,244,189,0.7745902,189,1,103,0.5449735,74,0.7184466,0,0,0,0,0,0,0,0,0,340,310,0.9117647,271,0.8741935,181,0.583871,117,0.6464088,340,271,0.7970588,271,1,166,0.6125461,105,0.6325301,0,0,0,0,0,0,0,0,0
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,612,392,0.6405229,362,0.9234694,209,0.5331633,134,0.6411483,282,178,0.6312057,162,0.9101124,101,0.5674157,67,0.6633663,267,154,0.576779,154,1,90,0.5844156,62,0.6888889,15,8,0.5333333,8,1,5,0.625,4,0.8,330,214,0.6484848,200,0.9345794,108,0.5046729,67,0.6203704,305,186,0.6098361,186,1,96,0.516129,62,0.6458333,25,14,0.56,14,1,7,0.5,4,0.5714286
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,401,368,0.9177057,140,0.3804348,230,0.625,108,0.4695652,151,134,0.8874172,55,0.4104478,86,0.641791,40,0.4651163,141,*,*,*,*,*,*,*,*,10,*,*,*,*,*,*,*,*,250,234,0.936,85,0.3632479,144,0.6153846,68,0.4722222,236,*,*,*,*,*,*,*,*,14,*,*,*,*,*,*,*,*
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,1582,1060,0.6700379,501,0.4726415,666,0.6283019,411,0.6171171,738,500,0.6775068,256,0.512,304,0.608,200,0.6578947,673,248,0.3684993,248,1,159,0.641129,135,0.8490566,65,8,0.1230769,8,1,3,0.375,2,0.6666667,844,560,0.6635071,245,0.4375,362,0.6464286,211,0.5828729,806,*,*,*,*,*,*,*,*,38,*,*,*,*,*,*,*,*
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,797,791,0.9924718,557,0.7041719,371,0.4690265,215,0.5795148,372,384,1.0322581,264,0.6875,180,0.46875,101,0.5611111,336,243,0.7232143,243,1,132,0.5432099,90,0.6818182,36,21,0.5833333,21,1,12,0.5714286,8,0.6666667,425,407,0.9576471,293,0.7199017,191,0.4692875,114,0.5968586,381,269,0.7060367,269,1,140,0.5204461,95,0.6785714,44,24,0.5454545,24,1,17,0.7083333,10,0.5882353
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,833,597,0.7166867,450,0.7537688,203,0.3400335,38,0.1871921,440,316,0.7181818,232,0.7341772,104,0.3291139,19,0.1826923,413,*,*,*,*,*,*,19,*,27,*,*,*,*,*,*,0,*,393,281,0.7150127,218,0.7758007,99,0.3523132,19,0.1919192,322,192,0.5962733,192,1,80,0.4166667,16,0.2,71,26,0.3661972,26,1,8,0.3076923,3,0.375
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1042,848,0.8138196,616,0.7264151,480,0.5660377,327,0.68125,456,384,0.8421053,279,0.7265625,214,0.5572917,148,0.6915888,406,250,0.6157635,250,1,172,0.688,126,0.7325581,50,29,0.58,29,1,22,0.7586207,15,0.6818182,586,464,0.7918089,337,0.7262931,266,0.5732759,179,0.6729323,543,319,0.587477,319,1,215,0.6739812,152,0.7069767,43,18,0.4186047,18,1,13,0.7222222,11,0.8461538
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,672,743,1.1056548,590,0.7940781,453,0.6096904,293,0.6467991,306,332,1.0849673,268,0.8072289,206,0.6204819,132,0.6407767,283,251,0.8869258,251,1,171,0.6812749,113,0.6608187,23,17,0.7391304,17,1,11,0.6470588,7,0.6363636,366,411,1.1229508,322,0.783455,247,0.6009732,161,0.6518219,337,296,0.8783383,296,1,206,0.6959459,144,0.6990291,29,26,0.8965517,26,1,17,0.6538462,8,0.4705882
RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,199,193,0.9698492,133,0.6891192,119,0.6165803,52,0.4369748,88,83,0.9431818,62,0.746988,49,0.5903614,20,0.4081633,81,*,*,*,*,*,*,*,*,7,*,*,*,*,*,*,*,*,111,110,0.990991,71,0.6454545,70,0.6363636,32,0.4571429,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NVC25,HORTON NHS TREATMENT CENTRE,1003,872,0.8693918,857,0.9827982,403,0.462156,324,0.8039702,410,355,0.8658537,348,0.9802817,169,0.4760563,138,0.816568,402,*,*,*,*,*,*,*,*,8,*,*,*,*,*,*,*,*,593,517,0.8718381,509,0.9845261,234,0.4526112,186,0.7948718,559,483,0.8640429,483,1,220,0.4554865,177,0.8045455,34,26,0.7647059,26,1,10,0.3846154,8,0.8
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,866,765,0.8833718,604,0.7895425,501,0.654902,244,0.4870259,437,387,0.8855835,312,0.8062016,267,0.6899225,122,0.4569288,385,289,0.7506494,289,1,213,0.7370242,110,0.5164319,52,23,0.4423077,23,1,15,0.6521739,7,0.4666667,429,378,0.8811189,292,0.7724868,234,0.6190476,122,0.5213675,366,259,0.7076503,259,1,172,0.6640927,95,0.5523256,63,33,0.5238095,33,1,19,0.5757576,13,0.6842105
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,611,464,0.7594108,388,0.8362069,170,0.3663793,64,0.3764706,243,166,0.6831276,138,0.8313253,55,0.3313253,20,0.3636364,222,128,0.5765766,128,1,52,0.40625,20,0.3846154,21,10,0.4761905,10,1,3,0.3,0,0,368,298,0.8097826,250,0.8389262,115,0.385906,44,0.3826087,335,229,0.6835821,229,1,103,0.4497817,40,0.3883495,33,21,0.6363636,21,1,7,0.3333333,4,0.5714286
R1F,ISLE OF WIGHT NHS TRUST,452,387,0.8561947,267,0.6899225,190,0.4909561,110,0.5789474,205,174,0.8487805,119,0.683908,84,0.4827586,46,0.547619,189,*,*,*,*,*,*,*,*,16,*,*,*,*,*,*,*,*,247,213,0.8623482,148,0.6948357,106,0.4976526,64,0.6037736,222,141,0.6351351,141,1,77,0.5460993,56,0.7272727,25,7,0.28,7,1,3,0.4285714,0,0
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,725,633,0.8731034,559,0.8830964,436,0.6887836,253,0.5802752,371,326,0.8787062,286,0.8773006,213,0.6533742,128,0.600939,353,279,0.7903683,279,1,193,0.6917563,121,0.626943,18,7,0.3888889,7,1,4,0.5714286,3,0.75,354,307,0.8672316,273,0.8892508,223,0.7263844,125,0.5605381,345,*,*,*,*,*,*,*,*,9,*,*,*,*,*,*,*,*
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,556,458,0.823741,396,0.8646288,295,0.6441048,206,0.6983051,234,194,0.8290598,167,0.8608247,126,0.6494845,92,0.7301587,220,160,0.7272727,160,1,101,0.63125,78,0.7722772,14,7,0.5,7,1,6,0.8571429,2,0.3333333,322,264,0.8198758,229,0.8674242,169,0.6401515,114,0.6745562,311,*,*,*,*,*,*,*,*,11,*,*,*,*,*,*,*,*
ADP02,KIMS HOSPITAL (NEWNHAM COURT),820,811,0.9890244,676,0.8335388,452,0.5573366,281,0.6216814,321,315,0.9813084,265,0.8412698,191,0.6063492,131,0.6858639,321,265,0.8255452,265,1,161,0.6075472,112,0.6956522,0,0,0,0,0,0,0,0,0,499,496,0.993988,411,0.828629,261,0.5262097,150,0.5747126,*,411,0.8269618,*,1,220,0.5352798,131,0.5954545,*,0,*,0,0,0,0,0,0
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,1302,1452,1.1152074,708,0.4876033,507,0.3491736,73,0.1439842,516,563,1.0910853,291,0.5168739,188,0.3339254,22,0.1170213,483,*,*,*,*,*,*,22,*,33,*,*,*,*,*,*,0,*,786,889,1.1310433,417,0.4690664,319,0.3588301,51,0.1598746,741,406,0.5479082,406,1,162,0.3990148,49,0.3024691,45,11,0.2444444,11,1,7,0.6363636,2,0.2857143
RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,0,*,0,0,0,0,0,*,0,*,0,0,0,0,0,0
